0,passive report type (at obs.location)
1,blacklist (or not whitelist)
2,suspicious location or date/time
3,time not in valid range
4,location not in valid area
5,location not in valid height range
6,incorrect surface (land,ice,etc)
7,cloud check
8,bad reporting practice/insuff. data
9,dataset qality flags
10,redundant report
11,flight track error flag
12,merged reports (e.g. TEMP ABCD)
13,thinning
14,complex rule
15,observation error too large (e_fg = 0)
16,gross error flag
17,no bias correction available
18,observation - first guess check
19,no observations in report
20,observation operator not applicable
21,obs - lateral boundary condition check
