1,geopotential
2,upper air temperature
3,u-component of wind
4,v-component of wind
7,specific humidity
8,vertical speed
9,precipitable water content
10,liquid water content
11,surface temperature
17,pseudo relative humidity
28,transformed relative humidity
29,relative humidity
30,pressure tendency
39,2 metre temperature
40,2 metre dew point
41,10m u-component of wind
42,10m v-component of wind
45,2 metre specific humidity
46,2 metre pseudo relative humidity
56,virtual temperature
57,thickness
58,2 metre relative humidity
59,upper air dew point
60,past weather
61,present weather
62,visibility
63,type of high clouds
64,type of middle clouds
65,type of low clouds
66,cloud base height
67,low cloud amount
69,additional cloud group type
70,additional cloud group amount
71,snow depth
72,state of ground
79,time period of information
80,precipitation amount
81,maximum temperature
87,general cloud group
91,total cloud amount
92,6h snow fall
93,middle cloud amount
94,high   cloud amount
95,individual cloud layer group Table
96,unknown
110,surface pressure
111,wind direction
112,wind speed
118,reflectivity
119,brightness temperature
120,radiance
128,atmospheric path delay
155,cloud top height
156,height
157,nominal flight level (m)
158,elevation (degree)
162,radio occ. bending angle
192,radar reflectivity
193,radial velocity
230,wind  power data
231,solar power data
236,1-h direct solar radiation
237,1-h global solar radiation
238,1-h diffuse solar radiat.
239,1-h long-wave radiation
240,vertical gust (aircrafts)
241,reduced pressure
242,wind gust
243,minimum temperature
244,degree of turbulence
252,impact parameter
248,refractivity
245,zenith path delay
246,zenith wet delay
247,slant path delay
249,max wind speed (10min mean)
251,pressure
0,ordinal (channel) number
